symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1033130106,192.168.84.159,192.168.84.160,52732.0,8761.0,258,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130106,192.168.84.159,192.168.84.160,35906.0,8761.0,287,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130136,192.168.84.159,192.168.84.160,35906.0,8761.0,332,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130136,192.168.84.159,192.168.84.160,52732.0,8761.0,519,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130166,192.168.84.159,192.168.84.160,52732.0,8761.0,312,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130166,192.168.84.159,192.168.84.160,35906.0,8761.0,160,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
in,1033130174,192.168.84.161,192.168.84.159,51448.0,8080.0,12443,3682,GET /list.html,>list.html,8080.0,200.0,get,zuul,catalog
in,1033130178,192.168.84.161,192.168.84.159,51448.0,8080.0,13766,1383,POST /6.html,>6.html,8080.0,405.0,post,zuul,catalog
in,1033130182,192.168.84.161,192.168.84.159,51448.0,8080.0,61400,2159,GET /6.html,>6.html,8080.0,200.0,get,zuul,catalog
out,1033130196,192.168.84.159,192.168.84.160,35906.0,8761.0,267,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130196,192.168.84.159,192.168.84.160,52732.0,8761.0,363,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
in,1033130200,192.168.84.161,192.168.84.159,51448.0,8080.0,3885,1407,POST /6.html,>6.html,8080.0,405.0,post,zuul,catalog
in,1033130204,192.168.84.161,192.168.84.159,51448.0,8080.0,4985,2160,GET /1.html,>1.html,8080.0,200.0,get,zuul,catalog
in,1033130206,192.168.84.161,192.168.84.159,51448.0,8080.0,5040,2166,GET /2.html,>2.html,8080.0,200.0,get,zuul,catalog
in,1033130209,192.168.84.161,192.168.84.159,51448.0,8080.0,1702,1252,GET /searchForm.html,>searchForm.html,8080.0,200.0,get,zuul,catalog
in,1033130212,192.168.84.161,192.168.84.159,51448.0,8080.0,75603,2052,GET /searchByName.html,>searchByName.html,8080.0,200.0,get,zuul,catalog
in,1033130213,192.168.84.161,192.168.84.159,52618.0,8080.0,46187,2052,GET /searchByName.html,>searchByName.html,8080.0,200.0,get,zuul,catalog
in,1033130217,192.168.84.158,192.168.84.159,57958.0,8080.0,7900,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
in,1033130217,192.168.84.158,192.168.84.159,57958.0,8080.0,33276,2462,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130217,192.168.84.158,192.168.84.159,57958.0,8080.0,6314,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
in,1033130222,192.168.84.161,192.168.84.159,51448.0,8080.0,7271,3682,GET /list.html,>list.html,8080.0,200.0,get,zuul,catalog
in,1033130224,192.168.84.161,192.168.84.159,51448.0,8080.0,6502,2112,GET /form.html,>form.html,8080.0,200.0,get,zuul,catalog
out,1033130226,192.168.84.159,192.168.84.160,35906.0,8761.0,281,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130226,192.168.84.159,192.168.84.160,52732.0,8761.0,311,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
in,1033130236,192.168.84.161,192.168.84.159,51448.0,8080.0,6835,1822,POST /form.html,>form.html,8080.0,200.0,post,zuul,catalog
in,1033130239,192.168.84.161,192.168.84.159,51448.0,8080.0,1681,1252,GET /searchForm.html,>searchForm.html,8080.0,200.0,get,zuul,catalog
in,1033130245,192.168.84.161,192.168.84.159,51448.0,8080.0,7740,2296,GET /searchByName.html,>searchByName.html,8080.0,200.0,get,zuul,catalog
in,1033130250,192.168.84.161,192.168.84.159,51448.0,8080.0,5003,2202,GET /7.html,>7.html,8080.0,200.0,get,zuul,catalog
in,1033130254,192.168.84.161,192.168.84.159,51448.0,8080.0,5369,2202,GET /7.html,>7.html,8080.0,200.0,get,zuul,catalog
out,1033130256,192.168.84.159,192.168.84.160,35906.0,8761.0,207,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130256,192.168.84.159,192.168.84.160,52732.0,8761.0,229,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
in,1033130263,192.168.84.158,192.168.84.159,57958.0,8080.0,10457,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
in,1033130263,192.168.84.158,192.168.84.159,57958.0,8080.0,8231,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130263,192.168.84.158,192.168.84.159,57958.0,8080.0,7345,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
in,1033130265,192.168.84.158,192.168.84.159,40752.0,8080.0,23783,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130271,192.168.84.158,192.168.84.159,40752.0,8080.0,11427,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130271,192.168.84.158,192.168.84.159,40752.0,8080.0,8887,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130276,192.168.84.158,192.168.84.159,40752.0,8080.0,8050,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
out,1033130286,192.168.84.159,192.168.84.160,35906.0,8761.0,233,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130286,192.168.84.159,192.168.84.160,52732.0,8761.0,230,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130316,192.168.84.159,192.168.84.160,35906.0,8761.0,283,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130316,192.168.84.159,192.168.84.160,52732.0,8761.0,425,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130346,192.168.84.159,192.168.84.160,35906.0,8761.0,277,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130346,192.168.84.159,192.168.84.160,52732.0,8761.0,321,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130376,192.168.84.159,192.168.84.160,52732.0,8761.0,370,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130376,192.168.84.159,192.168.84.160,35906.0,8761.0,411,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130406,192.168.84.159,192.168.84.160,35906.0,8761.0,283,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130406,192.168.84.159,192.168.84.160,52732.0,8761.0,283,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
in,1033130415,192.168.84.161,192.168.84.159,54242.0,8080.0,1965,1252,GET /searchForm.html,>searchForm.html,8080.0,200.0,get,zuul,catalog
in,1033130419,192.168.84.161,192.168.84.159,54242.0,8080.0,5596,2861,GET /searchByName.html,>searchByName.html,8080.0,200.0,get,zuul,catalog
out,1033130436,192.168.84.159,192.168.84.160,52732.0,8761.0,338,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
out,1033130436,192.168.84.159,192.168.84.160,35906.0,8761.0,337,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130466,192.168.84.159,192.168.84.160,35906.0,8761.0,355,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130466,192.168.84.159,192.168.84.160,52732.0,8761.0,355,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
in,1033130471,192.168.84.158,192.168.84.159,53144.0,8080.0,4151,633,GET /catalog/7,>catalog>7,8080.0,200.0,get,order,catalog
in,1033130471,192.168.84.158,192.168.84.159,53144.0,8080.0,3915,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
in,1033130471,192.168.84.158,192.168.84.159,53142.0,8080.0,6377,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
in,1033130471,192.168.84.158,192.168.84.159,53140.0,8080.0,7131,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130473,192.168.84.158,192.168.84.159,53144.0,8080.0,3285,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
in,1033130473,192.168.84.158,192.168.84.159,53144.0,8080.0,3871,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
in,1033130473,192.168.84.158,192.168.84.159,53144.0,8080.0,3410,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
in,1033130473,192.168.84.158,192.168.84.159,53144.0,8080.0,8086,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130476,192.168.84.158,192.168.84.159,39822.0,8080.0,8135,633,GET /catalog/7,>catalog>7,8080.0,200.0,get,order,catalog
in,1033130476,192.168.84.158,192.168.84.159,39822.0,8080.0,8247,633,GET /catalog/7,>catalog>7,8080.0,200.0,get,order,catalog
in,1033130476,192.168.84.158,192.168.84.159,39824.0,8080.0,4251,633,GET /catalog/7,>catalog>7,8080.0,200.0,get,order,catalog
in,1033130476,192.168.84.158,192.168.84.159,39822.0,8080.0,9172,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130490,192.168.84.158,192.168.84.159,35954.0,8080.0,6940,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
in,1033130490,192.168.84.158,192.168.84.159,35954.0,8080.0,11330,633,GET /catalog/7,>catalog>7,8080.0,200.0,get,order,catalog
in,1033130490,192.168.84.158,192.168.84.159,35954.0,8080.0,8241,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130490,192.168.84.158,192.168.84.159,35954.0,8080.0,7490,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
in,1033130492,192.168.84.158,192.168.84.159,35954.0,8080.0,7430,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130492,192.168.84.158,192.168.84.159,35954.0,8080.0,3703,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
in,1033130492,192.168.84.158,192.168.84.159,35956.0,8080.0,8727,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
in,1033130492,192.168.84.158,192.168.84.159,35954.0,8080.0,5086,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
in,1033130495,192.168.84.158,192.168.84.159,35956.0,8080.0,6633,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
out,1033130496,192.168.84.159,192.168.84.160,52732.0,8761.0,510,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130496,192.168.84.159,192.168.84.160,35906.0,8761.0,326,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
in,1033130501,192.168.84.158,192.168.84.159,35956.0,8080.0,14708,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130501,192.168.84.158,192.168.84.159,35956.0,8080.0,7266,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130507,192.168.84.158,192.168.84.159,35956.0,8080.0,10227,2746,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
out,1033130526,192.168.84.159,192.168.84.160,52732.0,8761.0,395,538,PUT /eureka/apps/CATALOG/catalog-7764455c7b-gcmrr:catalog:8080,>eureka>apps>CATALOG>catalog-7764455c7b-gcmrr-catalog-8080,8761.0,200.0,put,catalog,eureka
out,1033130526,192.168.84.159,192.168.84.160,35906.0,8761.0,395,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,catalog,eureka
