symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1033130090,192.168.84.156,192.168.84.160,55948.0,8761.0,255,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,customer,eureka
out,1033130090,192.168.84.156,192.168.84.160,55948.0,8761.0,323,541,PUT /eureka/apps/CUSTOMER/customer-577d8c6647-dl52w:customer:8080,>eureka>apps>CUSTOMER>customer-577d8c6647-dl52w-customer-8080,8761.0,200.0,put,customer,eureka
in,1033130098,192.168.84.161,192.168.84.156,42412.0,8080.0,290633,3392,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
in,1033130099,192.168.84.161,192.168.84.156,42412.0,8080.0,12686,3351,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
in,1033130102,192.168.84.161,192.168.84.156,42412.0,8080.0,14570,2649,GET /form.html,>form.html,8080.0,200.0,get,zuul,customer
out,1033130120,192.168.84.156,192.168.84.160,55948.0,8761.0,244,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,customer,eureka
out,1033130120,192.168.84.156,192.168.84.160,55948.0,8761.0,274,541,PUT /eureka/apps/CUSTOMER/customer-577d8c6647-dl52w:customer:8080,>eureka>apps>CUSTOMER>customer-577d8c6647-dl52w-customer-8080,8761.0,200.0,put,customer,eureka
in,1033130138,192.168.84.161,192.168.84.156,42412.0,8080.0,51973,1874,POST /form.html,>form.html,8080.0,200.0,post,zuul,customer
in,1033130143,192.168.84.161,192.168.84.156,42412.0,8080.0,7149,3677,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
in,1033130145,192.168.84.161,192.168.84.156,42412.0,8080.0,5194,2649,GET /form.html,>form.html,8080.0,200.0,get,zuul,customer
