symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1033130099,192.168.84.158,192.168.84.160,53464.0,8761.0,505,532,PUT /eureka/apps/ORDER/order-69d76bbbfc-wxmsw:order:8080,>eureka>apps>ORDER>order-69d76bbbfc-wxmsw-order-8080,8761.0,200.0,put,order,eureka
out,1033130099,192.168.84.158,192.168.84.160,51418.0,8761.0,509,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,order,eureka
out,1033130129,192.168.84.158,192.168.84.160,53464.0,8761.0,258,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,order,eureka
out,1033130129,192.168.84.158,192.168.84.160,51418.0,8761.0,178,532,PUT /eureka/apps/ORDER/order-69d76bbbfc-wxmsw:order:8080,>eureka>apps>ORDER>order-69d76bbbfc-wxmsw-order-8080,8761.0,200.0,put,order,eureka
out,1033130159,192.168.84.158,192.168.84.160,53464.0,8761.0,290,503,PUT /eureka/apps/ORDER/order-69d76bbbfc-wxmsw:order:8080,>eureka>apps>ORDER>order-69d76bbbfc-wxmsw-order-8080,8761.0,200.0,put,order,eureka
out,1033130159,192.168.84.158,192.168.84.160,51418.0,8761.0,366,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,order,eureka
out,1033130189,192.168.84.158,192.168.84.160,51418.0,8761.0,207,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,order,eureka
out,1033130189,192.168.84.158,192.168.84.160,44114.0,8761.0,470,532,PUT /eureka/apps/ORDER/order-69d76bbbfc-wxmsw:order:8080,>eureka>apps>ORDER>order-69d76bbbfc-wxmsw-order-8080,8761.0,200.0,put,order,eureka
out,1033130217,192.168.84.158,192.168.84.156,58216.0,8080.0,14882,3461,GET /customer/,>customer>,8080.0,200.0,get,order,customer
out,1033130217,192.168.84.158,192.168.84.156,58216.0,8080.0,11836,703,GET /customer/3,>customer>3,8080.0,200.0,get,order,customer
out,1033130217,192.168.84.158,192.168.84.156,58216.0,8080.0,9743,703,GET /customer/3,>customer>3,8080.0,200.0,get,order,customer
out,1033130217,192.168.84.158,192.168.84.159,57958.0,8080.0,7900,627,GET /catalog/2,>catalog>2,8080.0,200.0,get,order,catalog
out,1033130217,192.168.84.158,192.168.84.156,58216.0,8080.0,9493,734,GET /customer/1,>customer>1,8080.0,200.0,get,order,customer
out,1033130217,192.168.84.158,192.168.84.159,57958.0,8080.0,33276,2462,GET /catalog/,>catalog>,8080.0,200.0,get,order,catalog
in,1033130217,192.168.84.161,192.168.84.158,55222.0,8080.0,171835,2512,GET /,>,8080.0,200.0,get,zuul,order
out,1033130217,192.168.84.158,192.168.84.159,57958.0,8080.0,6314,621,GET /catalog/1,>catalog>1,8080.0,200.0,get,order,catalog
out,1033130217,192.168.84.158,192.168.84.156,58216.0,8080.0,5963,734,GET /customer/1,>customer>1,8080.0,200.0,get,order,customer
out,1033130219,192.168.84.158,192.168.84.160,51418.0,8761.0,348,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,order,eureka
out,1033130219,192.168.84.158,192.168.84.160,44114.0,8761.0,436,532,PUT /eureka/apps/ORDER/order-69d76bbbfc-wxmsw:order:8080,>eureka>apps>ORDER>order-69d76bbbfc-wxmsw-order-8080,8761.0,200.0,put,order,eureka
out,1033130249,192.168.84.158,192.168.84.160,51418.0,8761.0,252,532,PUT /eureka/apps/ORDER/order-69d76bbbfc-wxmsw:order:8080,>eureka>apps>ORDER>order-69d76bbbfc-wxmsw-order-8080,8761.0,200.0,put,order,eureka
out,1033130249,192.168.84.158,192.168.84.160,44114.0,8761.0,228,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,order,eureka
out,1033130263,192.168.84.158,192.168.84.156,55470.0,8080.0,9979,3461,GET /customer/,>customer>,8080.0,200.0,get,order,customer
