symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1033130100,192.168.84.157,192.168.84.160,43004.0,8761.0,348,538,PUT /eureka/apps/TURBINE/hystrix-67dbcb6656-xk6zm:turbine:8989,>eureka>apps>TURBINE>hystrix-67dbcb6656-xk6zm-turbine-8989,8761.0,200.0,put,turbine,eureka
out,1033130100,192.168.84.157,192.168.84.160,56770.0,8761.0,932,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,turbine,eureka
out,1033130130,192.168.84.157,192.168.84.160,43004.0,8761.0,149,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,turbine,eureka
out,1033130130,192.168.84.157,192.168.84.160,56770.0,8761.0,271,538,PUT /eureka/apps/TURBINE/hystrix-67dbcb6656-xk6zm:turbine:8989,>eureka>apps>TURBINE>hystrix-67dbcb6656-xk6zm-turbine-8989,8761.0,200.0,put,turbine,eureka
out,1033130160,192.168.84.157,192.168.84.160,43004.0,8761.0,206,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,turbine,eureka
out,1033130160,192.168.84.157,192.168.84.160,56770.0,8761.0,252,538,PUT /eureka/apps/TURBINE/hystrix-67dbcb6656-xk6zm:turbine:8989,>eureka>apps>TURBINE>hystrix-67dbcb6656-xk6zm-turbine-8989,8761.0,200.0,put,turbine,eureka
out,1033130190,192.168.84.157,192.168.84.160,56770.0,8761.0,230,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,turbine,eureka
out,1033130190,192.168.84.157,192.168.84.160,43004.0,8761.0,247,538,PUT /eureka/apps/TURBINE/hystrix-67dbcb6656-xk6zm:turbine:8989,>eureka>apps>TURBINE>hystrix-67dbcb6656-xk6zm-turbine-8989,8761.0,200.0,put,turbine,eureka
out,1033130220,192.168.84.157,192.168.84.160,43004.0,8761.0,270,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,turbine,eureka
out,1033130220,192.168.84.157,192.168.84.160,56770.0,8761.0,291,538,PUT /eureka/apps/TURBINE/hystrix-67dbcb6656-xk6zm:turbine:8989,>eureka>apps>TURBINE>hystrix-67dbcb6656-xk6zm-turbine-8989,8761.0,200.0,put,turbine,eureka
out,1033130250,192.168.84.157,192.168.84.160,43004.0,8761.0,291,538,PUT /eureka/apps/TURBINE/hystrix-67dbcb6656-xk6zm:turbine:8989,>eureka>apps>TURBINE>hystrix-67dbcb6656-xk6zm-turbine-8989,8761.0,200.0,put,turbine,eureka
out,1033130250,192.168.84.157,192.168.84.160,56770.0,8761.0,252,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,turbine,eureka
out,1033130280,192.168.84.157,192.168.84.160,56770.0,8761.0,351,538,PUT /eureka/apps/TURBINE/hystrix-67dbcb6656-xk6zm:turbine:8989,>eureka>apps>TURBINE>hystrix-67dbcb6656-xk6zm-turbine-8989,8761.0,200.0,put,turbine,eureka
out,1033130280,192.168.84.157,192.168.84.160,43004.0,8761.0,243,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,turbine,eureka
in,1033130281,192.168.235.192,192.168.84.157,56276.0,8989.0,120768,2591,GET /hystrix,>hystrix,31301.0,200.0,get,user,turbine
in,1033130282,192.168.235.192,192.168.84.157,56276.0,8989.0,352075,832,GET /favicon.ico,>favicon.ico,31301.0,404.0,get,user,turbine
in,1033130282,192.168.235.192,192.168.84.157,55344.0,8989.0,81375,764,GET /hystrix/images/hystrix-logo.png,>hystrix>images>hystrix-logo.png,31301.0,304.0,get,user,turbine
in,1033130282,192.168.235.192,192.168.84.157,56276.0,8989.0,25867,88884,GET /webjars/jquery/3.4.1/jquery.min.js,>webjars>jquery>3.4.1>jquery.min.js,31301.0,200.0,get,user,turbine
