symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1033130098,192.168.235.192,192.168.84.161,33624.0,8080.0,322660,3228,GET /customer/list.html,>customer>list.html,31101.0,200.0,get,user,zuul
out,1033130098,192.168.235.192,192.168.84.161,18766.0,8080.0,40503,749,GET /webjars/bootstrap/3.3.6/css/bootstrap-theme.min.css,>webjars>bootstrap>3.3.6>css>bootstrap-theme.min.css,31101.0,304.0,get,user,zuul
out,1033130098,192.168.235.192,192.168.84.161,51638.0,8080.0,24030,726,GET /webjars/bootstrap/3.3.6/js/bootstrap.min.js,>webjars>bootstrap>3.3.6>js>bootstrap.min.js,31101.0,304.0,get,user,zuul
out,1033130098,192.168.235.192,192.168.84.161,33624.0,8080.0,50626,122023,GET /webjars/bootstrap/3.3.6/css/bootstrap.min.css,>webjars>bootstrap>3.3.6>css>bootstrap.min.css,31101.0,200.0,get,user,zuul
out,1033130099,192.168.235.192,192.168.84.161,54997.0,8080.0,15438,3177,GET /customer/list.html,>customer>list.html,31101.0,200.0,get,user,zuul
out,1033130100,192.168.235.192,192.168.84.161,24523.0,8080.0,2377,121952,GET /webjars/bootstrap/3.3.6/css/bootstrap.min.css,>webjars>bootstrap>3.3.6>css>bootstrap.min.css,31101.0,200.0,get,user,zuul
out,1033130100,192.168.235.192,192.168.84.161,48125.0,8080.0,14685,24106,GET /webjars/bootstrap/3.3.6/css/bootstrap-theme.min.css,>webjars>bootstrap>3.3.6>css>bootstrap-theme.min.css,31101.0,200.0,get,user,zuul
out,1033130102,192.168.235.192,192.168.84.161,33624.0,8080.0,22026,2485,GET /customer/form.html,>customer>form.html,31101.0,200.0,get,user,zuul
out,1033130138,192.168.235.192,192.168.84.161,33624.0,8080.0,56116,1715,POST /customer/form.html,>customer>form.html,31101.0,200.0,post,user,zuul
out,1033130143,192.168.235.192,192.168.84.161,33624.0,8080.0,11369,3513,GET /customer/list.html,>customer>list.html,31101.0,200.0,get,user,zuul
out,1033130145,192.168.235.192,192.168.84.161,33624.0,8080.0,7240,2485,GET /customer/form.html,>customer>form.html,31101.0,200.0,get,user,zuul
out,1033130171,192.168.235.192,192.168.84.161,33624.0,8080.0,12839,1713,POST /customer/form.html,>customer>form.html,31101.0,200.0,post,user,zuul
out,1033130174,192.168.235.192,192.168.84.161,33624.0,8080.0,15888,3518,GET /catalog/list.html,>catalog>list.html,31101.0,200.0,get,user,zuul
out,1033130178,192.168.235.192,192.168.84.161,33624.0,8080.0,18793,1243,POST /catalog/6.html,>catalog>6.html,31101.0,405.0,post,user,zuul
out,1033130182,192.168.235.192,192.168.84.161,33624.0,8080.0,69174,1995,GET /catalog/6.html,>catalog>6.html,31101.0,200.0,get,user,zuul
out,1033130200,192.168.235.192,192.168.84.161,33624.0,8080.0,7570,1267,POST /catalog/6.html,>catalog>6.html,31101.0,405.0,post,user,zuul
out,1033130204,192.168.235.192,192.168.84.161,33624.0,8080.0,8614,1996,GET /catalog/1.html,>catalog>1.html,31101.0,200.0,get,user,zuul
out,1033130206,192.168.235.192,192.168.84.161,33624.0,8080.0,7356,2002,GET /catalog/2.html,>catalog>2.html,31101.0,200.0,get,user,zuul
out,1033130209,192.168.235.192,192.168.84.161,33624.0,8080.0,5391,1088,GET /catalog/searchForm.html,>catalog>searchForm.html,31101.0,200.0,get,user,zuul
out,1033130212,192.168.235.192,192.168.84.161,33624.0,8080.0,79050,1888,GET /catalog/searchByName.html,>catalog>searchByName.html,31101.0,200.0,get,user,zuul
out,1033130212,192.168.235.192,192.168.84.161,8425.0,8080.0,77387,1888,GET /catalog/searchByName.html,>catalog>searchByName.html,31101.0,200.0,get,user,zuul
out,1033130217,192.168.235.192,192.168.84.161,8425.0,8080.0,174406,2348,GET /order/,>order>,31101.0,200.0,get,user,zuul
out,1033130222,192.168.235.192,192.168.84.161,8425.0,8080.0,10926,3518,GET /catalog/list.html,>catalog>list.html,31101.0,200.0,get,user,zuul
out,1033130224,192.168.235.192,192.168.84.161,8425.0,8080.0,9800,1948,GET /catalog/form.html,>catalog>form.html,31101.0,200.0,get,user,zuul
out,1033130236,192.168.235.192,192.168.84.161,8425.0,8080.0,11307,1663,POST /catalog/form.html,>catalog>form.html,31101.0,200.0,post,user,zuul
out,1033130239,192.168.235.192,192.168.84.161,8425.0,8080.0,4958,1088,GET /catalog/searchForm.html,>catalog>searchForm.html,31101.0,200.0,get,user,zuul
out,1033130245,192.168.235.192,192.168.84.161,8425.0,8080.0,14546,2132,GET /catalog/searchByName.html,>catalog>searchByName.html,31101.0,200.0,get,user,zuul
out,1033130250,192.168.235.192,192.168.84.161,8425.0,8080.0,12443,2038,GET /catalog/7.html,>catalog>7.html,31101.0,200.0,get,user,zuul
out,1033130254,192.168.235.192,192.168.84.161,8425.0,8080.0,13553,2038,GET /catalog/7.html,>catalog>7.html,31101.0,200.0,get,user,zuul
out,1033130263,192.168.235.192,192.168.84.161,8425.0,8080.0,117471,2348,GET /order/,>order>,31101.0,200.0,get,user,zuul
out,1033130265,192.168.235.192,192.168.84.161,8425.0,8080.0,71151,2422,GET /order/form.html,>order>form.html,31101.0,200.0,get,user,zuul
out,1033130271,192.168.235.192,192.168.84.161,8425.0,8080.0,62626,3231,POST /order/line,>order>line,31101.0,200.0,post,user,zuul
out,1033130276,192.168.235.192,192.168.84.161,8425.0,8080.0,70421,1686,POST /order/,>order>,31101.0,200.0,post,user,zuul
out,1033130281,192.168.235.192,192.168.84.157,56276.0,8989.0,120768,2591,GET /hystrix,>hystrix,31301.0,200.0,get,user,turbine
out,1033130282,192.168.235.192,192.168.84.157,56276.0,8989.0,352075,832,GET /favicon.ico,>favicon.ico,31301.0,404.0,get,user,turbine
out,1033130282,192.168.235.192,192.168.84.157,55344.0,8989.0,81375,764,GET /hystrix/images/hystrix-logo.png,>hystrix>images>hystrix-logo.png,31301.0,304.0,get,user,turbine
out,1033130282,192.168.235.192,192.168.84.157,56276.0,8989.0,25867,88884,GET /webjars/jquery/3.4.1/jquery.min.js,>webjars>jquery>3.4.1>jquery.min.js,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,56276.0,8989.0,2799,4942,GET /hystrix/components/hystrixCommand/templates/hystrixCircuit.html,>hystrix>components>hystrixCommand>templates>hystrixCircuit.html,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,55344.0,8989.0,6059,20763,GET /hystrix/components/hystrixCommand/hystrixCommand.js,>hystrix>components>hystrixCommand>hystrixCommand.js,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,56276.0,8989.0,52820,723,GET /proxy.stream,>proxy.stream,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,16001.0,8989.0,3344,14127,GET /hystrix/images/hystrix-logo-tagline-tiny.png,>hystrix>images>hystrix-logo-tagline-tiny.png,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,16001.0,8989.0,52872,723,GET /proxy.stream,>proxy.stream,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,56276.0,8989.0,117743,8511,GET /hystrix/monitor,>hystrix>monitor,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,56276.0,8989.0,3808,147573,GET /webjars/d3js/3.4.11/d3.min.js,>webjars>d3js>3.4.11>d3.min.js,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,11151.0,8989.0,18322,3250,GET /hystrix/components/hystrixThreadPool/hystrixThreadPool.css,>hystrix>components>hystrixThreadPool>hystrixThreadPool.css,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,16001.0,8989.0,27150,12685,GET /hystrix/components/hystrixThreadPool/hystrixThreadPool.js,>hystrix>components>hystrixThreadPool>hystrixThreadPool.js,31301.0,200.0,get,user,turbine
out,1033130337,192.168.235.192,192.168.84.157,23629.0,8989.0,4682,3854,GET /hystrix/components/hystrixCommand/hystrixCommand.css,>hystrix>components>hystrixCommand>hystrixCommand.css,31301.0,200.0,get,user,turbine
