_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1033130098,192.168.84.161,192.168.84.156,42412.0,8080.0,290633,3392,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033130099,192.168.84.161,192.168.84.156,42412.0,8080.0,12686,3351,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033130102,192.168.84.161,192.168.84.156,42412.0,8080.0,14570,2649,GET /form.html,>form.html,8080.0,200.0,get,zuul,customer
1033130138,192.168.84.161,192.168.84.156,42412.0,8080.0,51973,1874,POST /form.html,>form.html,8080.0,200.0,post,zuul,customer
1033130143,192.168.84.161,192.168.84.156,42412.0,8080.0,7149,3677,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033130145,192.168.84.161,192.168.84.156,42412.0,8080.0,5194,2649,GET /form.html,>form.html,8080.0,200.0,get,zuul,customer
1033130171,192.168.84.161,192.168.84.156,42412.0,8080.0,8936,1872,POST /form.html,>form.html,8080.0,200.0,post,zuul,customer
1033130461,192.168.84.161,192.168.84.156,57940.0,8080.0,7855,3961,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033130467,192.168.84.161,192.168.84.156,57940.0,8080.0,7867,2731,GET /7.html,>7.html,8080.0,200.0,get,zuul,customer
1033130479,192.168.84.161,192.168.84.156,57940.0,8080.0,6759,3961,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033130785,192.168.84.161,192.168.84.156,33988.0,8080.0,6257,3961,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033131054,192.168.84.161,192.168.84.156,59074.0,8080.0,6257,3961,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033131056,192.168.84.161,192.168.84.156,59074.0,8080.0,8481,2733,GET /6.html,>6.html,8080.0,200.0,get,zuul,customer
1033131650,192.168.84.161,192.168.84.156,55316.0,8080.0,9725,3961,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033131652,192.168.84.161,192.168.84.156,55316.0,8080.0,5110,2731,GET /7.html,>7.html,8080.0,200.0,get,zuul,customer
1033131655,192.168.84.161,192.168.84.156,55316.0,8080.0,150012,1458,POST /7.html,>7.html,8080.0,405.0,post,zuul,customer
1033131659,192.168.84.161,192.168.84.156,55316.0,8080.0,5783,2731,GET /7.html,>7.html,8080.0,200.0,get,zuul,customer
1033131663,192.168.84.161,192.168.84.156,55316.0,8080.0,3574,1460,POST /7.html,>7.html,8080.0,405.0,post,zuul,customer
1033131801,192.168.84.161,192.168.84.156,34118.0,8080.0,5831,3961,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
1033131803,192.168.84.161,192.168.84.156,34118.0,8080.0,7066,2751,GET /1.html,>1.html,8080.0,200.0,get,zuul,customer
1033131864,192.168.84.161,192.168.84.156,42256.0,8080.0,7282,3961,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
