symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1033130080,192.168.84.161,192.168.84.160,56182.0,8761.0,339,526,PUT /eureka/apps/ZUUL/zuul-b677555-zqhcw:zuul:8080,>eureka>apps>ZUUL>zuul-b677555-zqhcw-zuul-8080,8761.0,200.0,put,zuul,eureka
out,1033130080,192.168.84.161,192.168.84.160,56182.0,8761.0,273,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,zuul,eureka
out,1033130090,192.168.84.161,192.168.84.160,56182.0,8761.0,258,526,PUT /eureka/apps/ZUUL/zuul-b677555-zqhcw:zuul:8080,>eureka>apps>ZUUL>zuul-b677555-zqhcw-zuul-8080,8761.0,200.0,put,zuul,eureka
out,1033130098,192.168.84.161,192.168.84.156,42412.0,8080.0,290633,3392,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
in,1033130098,192.168.235.192,192.168.84.161,33624.0,8080.0,322660,3228,GET /customer/list.html,>customer>list.html,31101.0,200.0,get,user,zuul
in,1033130098,192.168.235.192,192.168.84.161,18766.0,8080.0,40503,749,GET /webjars/bootstrap/3.3.6/css/bootstrap-theme.min.css,>webjars>bootstrap>3.3.6>css>bootstrap-theme.min.css,31101.0,304.0,get,user,zuul
in,1033130098,192.168.235.192,192.168.84.161,51638.0,8080.0,24030,726,GET /webjars/bootstrap/3.3.6/js/bootstrap.min.js,>webjars>bootstrap>3.3.6>js>bootstrap.min.js,31101.0,304.0,get,user,zuul
in,1033130098,192.168.235.192,192.168.84.161,33624.0,8080.0,50626,122023,GET /webjars/bootstrap/3.3.6/css/bootstrap.min.css,>webjars>bootstrap>3.3.6>css>bootstrap.min.css,31101.0,200.0,get,user,zuul
in,1033130099,192.168.235.192,192.168.84.161,54997.0,8080.0,15438,3177,GET /customer/list.html,>customer>list.html,31101.0,200.0,get,user,zuul
out,1033130099,192.168.84.161,192.168.84.156,42412.0,8080.0,12686,3351,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
in,1033130100,192.168.235.192,192.168.84.161,24523.0,8080.0,2377,121952,GET /webjars/bootstrap/3.3.6/css/bootstrap.min.css,>webjars>bootstrap>3.3.6>css>bootstrap.min.css,31101.0,200.0,get,user,zuul
in,1033130100,192.168.235.192,192.168.84.161,48125.0,8080.0,14685,24106,GET /webjars/bootstrap/3.3.6/css/bootstrap-theme.min.css,>webjars>bootstrap>3.3.6>css>bootstrap-theme.min.css,31101.0,200.0,get,user,zuul
out,1033130100,192.168.84.161,192.168.84.160,56182.0,8761.0,278,526,PUT /eureka/apps/ZUUL/zuul-b677555-zqhcw:zuul:8080,>eureka>apps>ZUUL>zuul-b677555-zqhcw-zuul-8080,8761.0,200.0,put,zuul,eureka
in,1033130102,192.168.235.192,192.168.84.161,33624.0,8080.0,22026,2485,GET /customer/form.html,>customer>form.html,31101.0,200.0,get,user,zuul
out,1033130102,192.168.84.161,192.168.84.156,42412.0,8080.0,14570,2649,GET /form.html,>form.html,8080.0,200.0,get,zuul,customer
out,1033130110,192.168.84.161,192.168.84.160,56182.0,8761.0,233,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,zuul,eureka
out,1033130110,192.168.84.161,192.168.84.160,56182.0,8761.0,252,526,PUT /eureka/apps/ZUUL/zuul-b677555-zqhcw:zuul:8080,>eureka>apps>ZUUL>zuul-b677555-zqhcw-zuul-8080,8761.0,200.0,put,zuul,eureka
out,1033130120,192.168.84.161,192.168.84.160,56182.0,8761.0,382,526,PUT /eureka/apps/ZUUL/zuul-b677555-zqhcw:zuul:8080,>eureka>apps>ZUUL>zuul-b677555-zqhcw-zuul-8080,8761.0,200.0,put,zuul,eureka
out,1033130130,192.168.84.161,192.168.84.160,56182.0,8761.0,268,526,PUT /eureka/apps/ZUUL/zuul-b677555-zqhcw:zuul:8080,>eureka>apps>ZUUL>zuul-b677555-zqhcw-zuul-8080,8761.0,200.0,put,zuul,eureka
in,1033130138,192.168.235.192,192.168.84.161,33624.0,8080.0,56116,1715,POST /customer/form.html,>customer>form.html,31101.0,200.0,post,user,zuul
out,1033130138,192.168.84.161,192.168.84.156,42412.0,8080.0,51973,1874,POST /form.html,>form.html,8080.0,200.0,post,zuul,customer
out,1033130140,192.168.84.161,192.168.84.160,56182.0,8761.0,308,526,PUT /eureka/apps/ZUUL/zuul-b677555-zqhcw:zuul:8080,>eureka>apps>ZUUL>zuul-b677555-zqhcw-zuul-8080,8761.0,200.0,put,zuul,eureka
out,1033130140,192.168.84.161,192.168.84.160,56182.0,8761.0,260,576,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,zuul,eureka
out,1033130143,192.168.84.161,192.168.84.156,42412.0,8080.0,7149,3677,GET /list.html,>list.html,8080.0,200.0,get,zuul,customer
