symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1042810320,192.168.247.10,10.98.245.48,46998.0,8888.0,120189,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
out,1042810320,192.168.247.10,192.168.247.4,46998.0,8888.0,120148,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
out,1042810335,192.168.247.10,192.168.247.4,35422.0,8888.0,78638,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
out,1042810335,192.168.247.10,10.98.245.48,35422.0,8888.0,78670,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
out,1042810337,192.168.247.10,10.108.35.123,40240.0,8761.0,51641,1404,POST /eureka/apps/ACCOUNT-SERVICE,>eureka>apps>ACCOUNT-SERVICE,8761.0,204.0,post,account-service,registry
out,1042810337,192.168.247.10,192.168.247.5,40240.0,8761.0,51598,1404,POST /eureka/apps/ACCOUNT-SERVICE,>eureka>apps>ACCOUNT-SERVICE,8761.0,204.0,post,account-service,registry
out,1042810337,192.168.247.10,192.168.247.5,40240.0,8761.0,21194,1065,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,account-service,registry
out,1042810337,192.168.247.10,10.108.35.123,40240.0,8761.0,21237,1065,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,account-service,registry
out,1042810367,192.168.247.10,192.168.247.5,40240.0,8761.0,3156,1072,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,account-service,registry
out,1042810367,192.168.247.10,10.108.35.123,40240.0,8761.0,3214,1072,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,account-service,registry
out,1042810367,192.168.247.10,192.168.247.5,42294.0,8761.0,2851,480,PUT /eureka/apps/ACCOUNT-SERVICE/account-service-7786958fd5-2mcf5:account-service:6000,>eureka>apps>ACCOUNT-SERVICE>account-service-7786958fd5-2mcf5-account-service-6000,8761.0,200.0,put,account-service,registry
out,1042810367,192.168.247.10,10.108.35.123,42294.0,8761.0,2900,480,PUT /eureka/apps/ACCOUNT-SERVICE/account-service-7786958fd5-2mcf5:account-service:6000,>eureka>apps>ACCOUNT-SERVICE>account-service-7786958fd5-2mcf5-account-service-6000,8761.0,200.0,put,account-service,registry
