symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
in,1042810099,192.168.247.5,10.98.245.48,33230.0,8888.0,530461,1261,GET /registry/default,>registry>default,8888.0,200.0,get,registry,config-server
in,1042810099,192.168.247.5,192.168.247.4,33230.0,8888.0,530439,1261,GET /registry/default,>registry>default,8888.0,200.0,get,registry,config-server
in,1042810133,192.168.247.6,10.98.245.48,43820.0,8888.0,114741,2315,GET /gateway/default,>gateway>default,8888.0,200.0,get,gateway,config-server
in,1042810133,192.168.247.6,192.168.247.4,43820.0,8888.0,114712,2315,GET /gateway/default,>gateway>default,8888.0,200.0,get,gateway,config-server
in,1042810238,192.168.247.8,192.168.247.4,42622.0,8888.0,106325,1476,GET /auth-service/default,>auth-service>default,8888.0,200.0,get,auth-service,config-server
in,1042810238,192.168.247.8,10.98.245.48,42622.0,8888.0,106360,1476,GET /auth-service/default,>auth-service>default,8888.0,200.0,get,auth-service,config-server
in,1042810320,192.168.247.10,10.98.245.48,46998.0,8888.0,120189,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
in,1042810320,192.168.247.10,192.168.247.4,46998.0,8888.0,120148,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
in,1042810335,192.168.247.10,192.168.247.4,35422.0,8888.0,78638,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
in,1042810335,192.168.247.10,10.98.245.48,35422.0,8888.0,78670,1822,GET /account-service/default,>account-service>default,8888.0,200.0,get,account-service,config-server
in,1042810416,192.168.84.131,10.98.245.48,41536.0,8888.0,80875,1859,GET /statistics-service/default,>statistics-service>default,8888.0,200.0,get,statistics-service,config-server
in,1042810416,192.168.84.131,192.168.247.4,41536.0,8888.0,80480,1859,GET /statistics-service/default,>statistics-service>default,8888.0,200.0,get,statistics-service,config-server
in,1042810416,192.168.84.131,192.168.247.4,41536.0,8888.0,80823,1859,GET /statistics-service/default,>statistics-service>default,8888.0,200.0,get,statistics-service,config-server
in,1042810430,192.168.84.131,192.168.247.4,49612.0,8888.0,48090,1859,GET /statistics-service/default,>statistics-service>default,8888.0,200.0,get,statistics-service,config-server
in,1042810431,192.168.84.131,10.98.245.48,49612.0,8888.0,48472,1859,GET /statistics-service/default,>statistics-service>default,8888.0,200.0,get,statistics-service,config-server
in,1042810431,192.168.84.131,192.168.247.4,49612.0,8888.0,48443,1859,GET /statistics-service/default,>statistics-service>default,8888.0,200.0,get,statistics-service,config-server
in,1042810492,192.168.84.132,192.168.247.4,48784.0,8888.0,42052,2808,GET /notification-service/default,>notification-service>default,8888.0,200.0,get,notification-service,config-server
in,1042810493,192.168.84.132,192.168.247.4,48784.0,8888.0,42405,2808,GET /notification-service/default,>notification-service>default,8888.0,200.0,get,notification-service,config-server
in,1042810493,192.168.84.132,10.98.245.48,48784.0,8888.0,42441,2808,GET /notification-service/default,>notification-service>default,8888.0,200.0,get,notification-service,config-server
in,1042810507,192.168.84.132,192.168.247.4,42914.0,8888.0,68546,2808,GET /notification-service/default,>notification-service>default,8888.0,200.0,get,notification-service,config-server
in,1042810508,192.168.84.132,10.98.245.48,42914.0,8888.0,68950,2808,GET /notification-service/default,>notification-service>default,8888.0,200.0,get,notification-service,config-server
in,1042810508,192.168.84.132,192.168.247.4,42914.0,8888.0,68928,2808,GET /notification-service/default,>notification-service>default,8888.0,200.0,get,notification-service,config-server
in,1042810532,192.168.247.13,192.168.247.4,46992.0,8888.0,68680,1147,GET /monitoring/default,>monitoring>default,8888.0,200.0,get,monitoring-service,config-server
in,1042810532,192.168.247.13,10.98.245.48,46992.0,8888.0,68757,1147,GET /monitoring/default,>monitoring>default,8888.0,200.0,get,monitoring-service,config-server
in,1042810566,192.168.84.133,192.168.247.4,45948.0,8888.0,43497,1171,GET /turbine-stream-service/default,>turbine-stream-service>default,8888.0,200.0,get,turbine-stream,config-server
in,1042810567,192.168.84.133,10.98.245.48,45948.0,8888.0,43931,1171,GET /turbine-stream-service/default,>turbine-stream-service>default,8888.0,200.0,get,turbine-stream,config-server
in,1042810567,192.168.84.133,192.168.247.4,45948.0,8888.0,43910,1171,GET /turbine-stream-service/default,>turbine-stream-service>default,8888.0,200.0,get,turbine-stream,config-server
in,1042810572,192.168.84.133,192.168.247.4,48980.0,8888.0,45817,1171,GET /turbine-stream-service/default,>turbine-stream-service>default,8888.0,200.0,get,turbine-stream,config-server
in,1042810573,192.168.84.133,192.168.247.4,48980.0,8888.0,46205,1171,GET /turbine-stream-service/default,>turbine-stream-service>default,8888.0,200.0,get,turbine-stream,config-server
in,1042810573,192.168.84.133,10.98.245.48,48980.0,8888.0,46237,1171,GET /turbine-stream-service/default,>turbine-stream-service>default,8888.0,200.0,get,turbine-stream,config-server
