_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1042810592,192.168.247.6,192.168.247.10,58522.0,6000.0,532566,1224,GET /accounts/current,>accounts>current,6000.0,401.0,get,gateway,account-service
1042810598,192.168.247.6,192.168.247.10,58522.0,6000.0,281002,1939,GET /accounts/demo,>accounts>demo,6000.0,200.0,get,gateway,account-service
1042810726,192.168.247.6,192.168.247.10,60900.0,6000.0,2063130,1300,POST /accounts/,>accounts>,6000.0,200.0,post,gateway,account-service
1042810729,192.168.247.6,192.168.247.10,60900.0,6000.0,65473,1253,GET /accounts/current,>accounts>current,6000.0,200.0,get,gateway,account-service
1042810762,192.168.247.6,192.168.247.10,60900.0,6000.0,1255711,1288,PUT /accounts/current,>accounts>current,6000.0,200.0,put,gateway,account-service
1042810777,192.168.247.6,192.168.247.10,60900.0,6000.0,168548,1400,PUT /accounts/current,>accounts>current,6000.0,200.0,put,gateway,account-service
1042810788,192.168.247.6,192.168.247.10,60900.0,6000.0,160080,1518,PUT /accounts/current,>accounts>current,6000.0,200.0,put,gateway,account-service
1042810802,192.168.247.6,192.168.247.10,60900.0,6000.0,242911,1629,PUT /accounts/current,>accounts>current,6000.0,200.0,put,gateway,account-service
1042810851,192.168.247.6,192.168.247.10,60900.0,6000.0,110104,2347,PUT /accounts/current,>accounts>current,6000.0,400.0,put,gateway,account-service
1042810877,192.168.247.6,192.168.247.10,34304.0,6000.0,41940,2445,PUT /accounts/current,>accounts>current,6000.0,400.0,put,gateway,account-service
1042810893,192.168.247.6,192.168.247.10,55814.0,6000.0,45028,2565,PUT /accounts/current,>accounts>current,6000.0,400.0,put,gateway,account-service
1042810917,192.168.247.6,192.168.247.10,49968.0,6000.0,75889,2467,PUT /accounts/current,>accounts>current,6000.0,400.0,put,gateway,account-service
1042810923,192.168.247.6,192.168.247.10,49970.0,6000.0,49777,2347,PUT /accounts/current,>accounts>current,6000.0,400.0,put,gateway,account-service
1042811000,192.168.247.6,192.168.247.10,53276.0,6000.0,30115,1564,GET /accounts/current,>accounts>current,6000.0,200.0,get,gateway,account-service
