symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1042810532,192.168.247.13,192.168.247.4,46992.0,8888.0,68680,1147,GET /monitoring/default,>monitoring>default,8888.0,200.0,get,monitoring-service,config-server
out,1042810532,192.168.247.13,10.98.245.48,46992.0,8888.0,68757,1147,GET /monitoring/default,>monitoring>default,8888.0,200.0,get,monitoring-service,config-server
in,1042811824,192.168.235.192,192.168.247.13,32153.0,8080.0,240436,947,GET /,>,31401.0,404.0,get,user,monitoring-service
in,1042811825,192.168.235.192,192.168.247.13,32153.0,8080.0,118786,1567,GET /favicon.ico,>favicon.ico,31401.0,200.0,get,user,monitoring-service
in,1042811936,192.168.235.192,192.168.247.13,20944.0,8080.0,55347,955,GET /clusters,>clusters,31401.0,404.0,get,user,monitoring-service
in,1042811940,192.168.235.192,192.168.247.13,20944.0,8080.0,12862,947,GET /,>,31401.0,404.0,get,user,monitoring-service
in,1042812046,192.168.235.192,192.168.247.13,30740.0,8080.0,53946,1064,GET /proxy/hystrix/monitor,>proxy>hystrix>monitor,31401.0,404.0,get,user,monitoring-service
in,1042817193,192.168.235.192,192.168.247.13,39833.0,8080.0,9126,84882,GET /webjars/jquery/2.1.1/jquery.min.js,>webjars>jquery>2.1.1>jquery.min.js,31401.0,200.0,get,user,monitoring-service
in,1042817193,192.168.235.192,192.168.247.13,39833.0,8080.0,9464,127906,GET /webjars/jquery/2.1.1/jquery.min.map,>webjars>jquery>2.1.1>jquery.min.map,31401.0,200.0,get,user,monitoring-service
in,1042817193,192.168.235.192,192.168.247.13,39833.0,8080.0,262337,2490,GET /hystrix,>hystrix,31401.0,200.0,get,user,monitoring-service
in,1042817193,192.168.235.192,192.168.247.13,18494.0,8080.0,5836,56578,GET /hystrix/images/hystrix-logo.png,>hystrix>images>hystrix-logo.png,31401.0,200.0,get,user,monitoring-service
in,1042817203,192.168.235.192,192.168.247.13,39833.0,8080.0,18528,955,GET /clusters,>clusters,31401.0,404.0,get,user,monitoring-service
in,1042817210,192.168.235.192,192.168.247.13,39833.0,8080.0,26997,2490,GET /hystrix,>hystrix,31401.0,200.0,get,user,monitoring-service
in,1042817210,192.168.235.192,192.168.247.13,39833.0,8080.0,3143,121058,GET /webjars/jquery/2.1.1/jquery.min.map,>webjars>jquery>2.1.1>jquery.min.map,31401.0,200.0,get,user,monitoring-service
in,1042817243,192.168.235.192,192.168.247.13,39833.0,8080.0,55444,8458,GET /hystrix/monitor,>hystrix>monitor,31401.0,200.0,get,user,monitoring-service
in,1042817243,192.168.235.192,192.168.247.13,39833.0,8080.0,3863,2088,GET /hystrix/css/global.css,>hystrix>css>global.css,31401.0,200.0,get,user,monitoring-service
in,1042817243,192.168.235.192,192.168.247.13,18494.0,8080.0,4138,2185,GET /hystrix/css/monitor.css,>hystrix>css>monitor.css,31401.0,200.0,get,user,monitoring-service
in,1042817244,192.168.235.192,192.168.247.13,49462.0,8080.0,3755,147442,GET /webjars/d3js/3.4.11/d3.min.js,>webjars>d3js>3.4.11>d3.min.js,31401.0,200.0,get,user,monitoring-service
in,1042817244,192.168.235.192,192.168.247.13,23498.0,8080.0,4148,12554,GET /hystrix/components/hystrixThreadPool/hystrixThreadPool.js,>hystrix>components>hystrixThreadPool>hystrixThreadPool.js,31401.0,200.0,get,user,monitoring-service
in,1042817244,192.168.235.192,192.168.247.13,18494.0,8080.0,14924,2106,GET /hystrix/js/tmpl.js,>hystrix>js>tmpl.js,31401.0,200.0,get,user,monitoring-service
