_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1042810144,192.168.247.5,10.108.35.123,50088.0,8761.0,35477,1608,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810173,192.168.247.5,10.108.35.123,50088.0,8761.0,23177,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810203,192.168.247.5,10.108.35.123,50088.0,8761.0,3716,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810233,192.168.247.5,10.108.35.123,50088.0,8761.0,7953,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810251,192.168.247.5,10.108.35.123,50088.0,8761.0,6691,1648,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810263,192.168.247.5,10.108.35.123,50088.0,8761.0,12142,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810281,192.168.247.5,10.108.35.123,50088.0,8761.0,12091,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810293,192.168.247.5,10.108.35.123,50088.0,8761.0,2766,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810311,192.168.247.5,10.108.35.123,50088.0,8761.0,2836,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810323,192.168.247.5,10.108.35.123,50088.0,8761.0,23600,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810338,192.168.247.5,10.108.35.123,50088.0,8761.0,5141,1679,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810341,192.168.247.5,10.108.35.123,50088.0,8761.0,3361,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810353,192.168.247.5,10.108.35.123,50088.0,8761.0,6691,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810368,192.168.247.5,10.108.35.123,50088.0,8761.0,10497,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810371,192.168.247.5,10.108.35.123,50088.0,8761.0,2423,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810383,192.168.247.5,10.108.35.123,50088.0,8761.0,2967,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810398,192.168.247.5,10.108.35.123,50088.0,8761.0,3218,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810401,192.168.247.5,10.108.35.123,50088.0,8761.0,3134,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810413,192.168.247.5,10.108.35.123,50088.0,8761.0,6264,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810428,192.168.247.5,10.108.35.123,50088.0,8761.0,1972,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810431,192.168.247.5,10.108.35.123,50088.0,8761.0,2389,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810433,192.168.247.5,10.108.35.123,50088.0,8761.0,3795,1699,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810443,192.168.247.5,10.108.35.123,50088.0,8761.0,1746,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810458,192.168.247.5,10.108.35.123,50088.0,8761.0,2279,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810461,192.168.247.5,10.108.35.123,50088.0,8761.0,10647,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810462,192.168.247.5,10.108.35.123,50088.0,8761.0,4101,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810473,192.168.247.5,10.108.35.123,50088.0,8761.0,2502,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810488,192.168.247.5,10.108.35.123,50088.0,8761.0,2586,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810491,192.168.247.5,10.108.35.123,50088.0,8761.0,2207,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810492,192.168.247.5,10.108.35.123,50088.0,8761.0,8920,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810503,192.168.247.5,10.108.35.123,50088.0,8761.0,2261,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810509,192.168.247.5,10.108.35.123,50088.0,8761.0,3758,1719,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810518,192.168.247.5,10.108.35.123,50088.0,8761.0,7836,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810521,192.168.247.5,10.108.35.123,50088.0,8761.0,8951,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810522,192.168.247.5,10.108.35.123,50088.0,8761.0,4085,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810534,192.168.247.5,10.108.35.123,50088.0,8761.0,3016,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810539,192.168.247.5,10.108.35.123,50088.0,8761.0,11265,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810548,192.168.247.5,10.108.35.123,50088.0,8761.0,1944,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810551,192.168.247.5,10.108.35.123,50088.0,8761.0,3117,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810552,192.168.247.5,10.108.35.123,50088.0,8761.0,4119,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810564,192.168.247.5,10.108.35.123,50088.0,8761.0,1990,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810569,192.168.247.5,10.108.35.123,50088.0,8761.0,2032,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810573,192.168.247.5,10.108.35.123,50088.0,8761.0,3255,1725,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810578,192.168.247.5,10.108.35.123,50088.0,8761.0,2192,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810581,192.168.247.5,10.108.35.123,50088.0,8761.0,2146,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810582,192.168.247.5,10.108.35.123,50088.0,8761.0,1832,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810594,192.168.247.5,10.108.35.123,50088.0,8761.0,4072,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810599,192.168.247.5,10.108.35.123,50088.0,8761.0,1859,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810603,192.168.247.5,10.108.35.123,50088.0,8761.0,1711,712,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810608,192.168.247.5,10.108.35.123,50088.0,8761.0,6816,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810611,192.168.247.5,10.108.35.123,50088.0,8761.0,3189,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810612,192.168.247.5,10.108.35.123,50088.0,8761.0,5618,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810624,192.168.247.5,10.108.35.123,50088.0,8761.0,1617,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810629,192.168.247.5,10.108.35.123,50088.0,8761.0,3698,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810633,192.168.247.5,10.108.35.123,50088.0,8761.0,4159,712,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810638,192.168.247.5,10.108.35.123,50088.0,8761.0,2752,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810641,192.168.247.5,10.108.35.123,50088.0,8761.0,2313,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810642,192.168.247.5,10.108.35.123,50088.0,8761.0,2402,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810654,192.168.247.5,10.108.35.123,50088.0,8761.0,3037,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810659,192.168.247.5,10.108.35.123,50088.0,8761.0,2005,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810663,192.168.247.5,10.108.35.123,50088.0,8761.0,2577,712,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810668,192.168.247.5,10.108.35.123,50088.0,8761.0,3649,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810671,192.168.247.5,10.108.35.123,50088.0,8761.0,3578,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810673,192.168.247.5,10.108.35.123,50088.0,8761.0,2154,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810684,192.168.247.5,10.108.35.123,50088.0,8761.0,2938,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810689,192.168.247.5,10.108.35.123,50088.0,8761.0,1581,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810693,192.168.247.5,10.108.35.123,50088.0,8761.0,4946,712,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810698,192.168.247.5,10.108.35.123,50088.0,8761.0,1830,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810701,192.168.247.5,10.108.35.123,50088.0,8761.0,1801,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810703,192.168.247.5,10.108.35.123,50088.0,8761.0,241736,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810704,192.168.247.5,10.108.35.123,57748.0,8761.0,3573,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810714,192.168.247.5,10.108.35.123,57748.0,8761.0,4937,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810719,192.168.247.5,10.108.35.123,57748.0,8761.0,1411,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810723,192.168.247.5,10.108.35.123,57748.0,8761.0,2026,712,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810728,192.168.247.5,10.108.35.123,57748.0,8761.0,1949,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810731,192.168.247.5,10.108.35.123,57748.0,8761.0,3435,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810733,192.168.247.5,10.108.35.123,57748.0,8761.0,1620,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810744,192.168.247.5,10.108.35.123,57748.0,8761.0,5394,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810749,192.168.247.5,10.108.35.123,57748.0,8761.0,1818,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810753,192.168.247.5,10.108.35.123,57748.0,8761.0,1320,712,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810758,192.168.247.5,10.108.35.123,57748.0,8761.0,1685,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810761,192.168.247.5,10.108.35.123,57748.0,8761.0,2300,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810763,192.168.247.5,10.108.35.123,57748.0,8761.0,1461,703,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810774,192.168.247.5,10.108.35.123,57748.0,8761.0,3500,671,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810779,192.168.247.5,10.108.35.123,57748.0,8761.0,4849,711,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810783,192.168.247.5,10.108.35.123,57748.0,8761.0,3129,712,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810788,192.168.247.5,10.108.35.123,57748.0,8761.0,1613,696,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
1042810791,192.168.247.5,10.108.35.123,57748.0,8761.0,6542,686,POST /eureka/peerreplication/batch/,>eureka>peerreplication>batch>,8761.0,200.0,post,registry,registry
