_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1042810591,192.168.235.192,192.168.247.6,47176.0,4000.0,1721773,974,GET /accounts/current,>accounts>current,31101.0,401.0,get,user,gateway
1042810598,192.168.235.192,192.168.247.6,47176.0,4000.0,308987,1689,GET /accounts/demo,>accounts>demo,31101.0,200.0,get,user,gateway
1042810604,192.168.235.192,192.168.247.6,47176.0,4000.0,28852,42099,GET /fonts/museo-100/museo-100.woff,>fonts>museo-100>museo-100.woff,31101.0,200.0,get,user,gateway
1042810719,192.168.235.192,192.168.247.6,20295.0,4000.0,23975,716,GET /,>,31101.0,304.0,get,user,gateway
1042810726,192.168.235.192,192.168.247.6,20295.0,4000.0,2098557,1069,POST /accounts/,>accounts>,31101.0,200.0,post,user,gateway
1042810728,192.168.235.192,192.168.247.6,20295.0,4000.0,252629,1081,POST /uaa/oauth/token,>uaa>oauth>token,31101.0,200.0,post,user,gateway
1042810729,192.168.235.192,192.168.247.6,20295.0,4000.0,81039,1003,GET /accounts/current,>accounts>current,31101.0,200.0,get,user,gateway
1042810747,192.168.235.192,192.168.247.6,20295.0,4000.0,817173,1198,PUT /notifications/recipients/current,>notifications>recipients>current,31101.0,200.0,put,user,gateway
1042810762,192.168.235.192,192.168.247.6,20295.0,4000.0,1265946,1071,PUT /accounts/current,>accounts>current,31101.0,200.0,put,user,gateway
1042810777,192.168.235.192,192.168.247.6,20295.0,4000.0,176214,1183,PUT /accounts/current,>accounts>current,31101.0,200.0,put,user,gateway
1042810788,192.168.235.192,192.168.247.6,20295.0,4000.0,183141,1301,PUT /accounts/current,>accounts>current,31101.0,200.0,put,user,gateway
1042810801,192.168.235.192,192.168.247.6,20295.0,4000.0,267929,1412,PUT /accounts/current,>accounts>current,31101.0,200.0,put,user,gateway
1042810851,192.168.235.192,192.168.247.6,20295.0,4000.0,132610,2116,PUT /accounts/current,>accounts>current,31101.0,400.0,put,user,gateway
