symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1041866004,192.168.84.173,192.168.84.177,48858.0,8761.0,4435,563,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,gateway,service-registry-eureka-0
out,1041866004,192.168.84.173,192.168.84.177,48858.0,8761.0,47470,1468,POST /eureka/apps/API-GATEWAY,>eureka>apps>API-GATEWAY,8761.0,204.0,post,gateway,service-registry-eureka-0
out,1041866034,192.168.84.173,192.168.84.177,36290.0,8761.0,2894,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
out,1041866034,192.168.84.173,192.168.84.177,48858.0,8761.0,2101,1523,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,gateway,service-registry-eureka-0
out,1041866064,192.168.84.173,192.168.84.177,48858.0,8761.0,2612,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
out,1041866064,192.168.84.173,192.168.84.177,48858.0,8761.0,1829,1536,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
in,1041866084,192.168.235.192,192.168.84.173,53473.0,9191.0,1575470,477,POST /departments/,>departments>,31101.0,200.0,post,user,gateway
out,1041866085,192.168.84.173,192.168.84.176,59598.0,9001.0,315164,672,POST /departments/,>departments>,9001.0,200.0,post,gateway,department-service-app-7488fb859-xhkx5
out,1041866094,192.168.84.173,192.168.84.177,48858.0,8761.0,2233,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
out,1041866094,192.168.84.173,192.168.84.177,48858.0,8761.0,1575,1536,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
out,1041866122,192.168.84.173,192.168.84.176,59598.0,9001.0,11306,668,POST /departments/,>departments>,9001.0,200.0,post,gateway,department-service-app-7488fb859-xhkx5
in,1041866122,192.168.235.192,192.168.84.173,34166.0,9191.0,21887,473,POST /departments/,>departments>,31101.0,200.0,post,user,gateway
out,1041866124,192.168.84.173,192.168.84.177,48858.0,8761.0,1760,1536,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
out,1041866124,192.168.84.173,192.168.84.177,48858.0,8761.0,2283,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
out,1041866150,192.168.84.173,192.168.84.176,59598.0,9001.0,6234,666,POST /departments/,>departments>,9001.0,200.0,post,gateway,department-service-app-7488fb859-xhkx5
in,1041866150,192.168.235.192,192.168.84.173,31916.0,9191.0,15631,471,POST /departments/,>departments>,31101.0,200.0,post,user,gateway
