_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,_source_http_response_status_code,_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1041865993,192.168.84.172,192.168.84.177,35792.0,8761.0,702500,563,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041865994,192.168.84.172,192.168.84.177,35792.0,8761.0,405161,1472,POST /eureka/apps/USER-SERVICE,>eureka>apps>USER-SERVICE,8761.0,204.0,post,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041865997,192.168.84.175,192.168.84.177,32982.0,8761.0,20478,563,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041865998,192.168.84.175,192.168.84.177,32982.0,8761.0,111556,1502,POST /eureka/apps/HYSTRIX-DASHBOARD,>eureka>apps>HYSTRIX-DASHBOARD,8761.0,204.0,post,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041865999,192.168.84.174,192.168.84.177,47942.0,8761.0,30567,563,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041866000,192.168.84.174,192.168.84.177,47942.0,8761.0,120860,1484,POST /eureka/apps/CONFIG-SERVER,>eureka>apps>CONFIG-SERVER,8761.0,204.0,post,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041866004,192.168.84.173,192.168.84.177,48858.0,8761.0,4435,563,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,gateway,service-registry-eureka-0
1041866004,192.168.84.173,192.168.84.177,48858.0,8761.0,47470,1468,POST /eureka/apps/API-GATEWAY,>eureka>apps>API-GATEWAY,8761.0,204.0,post,gateway,service-registry-eureka-0
1041866006,192.168.84.176,192.168.84.177,36902.0,8761.0,3324,563,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041866006,192.168.84.176,192.168.84.177,36902.0,8761.0,48002,1507,POST /eureka/apps/DEPARTMENT-SERVICE,>eureka>apps>DEPARTMENT-SERVICE,8761.0,204.0,post,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041866024,192.168.84.172,192.168.84.177,35792.0,8761.0,2940,1523,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041866024,192.168.84.172,192.168.84.177,43778.0,8761.0,10191,557,PUT /eureka/apps/USER-SERVICE/user-service-app-686f9cf445-z24rf:USER-SERVICE:9002,>eureka>apps>USER-SERVICE>user-service-app-686f9cf445-z24rf-USER-SERVICE-9002,8761.0,200.0,put,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041866027,192.168.84.175,192.168.84.177,32982.0,8761.0,2527,1523,GET /eureka/apps/,>eureka>apps>,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041866027,192.168.84.175,192.168.84.177,45282.0,8761.0,8109,572,PUT /eureka/apps/HYSTRIX-DASHBOARD/hystrix-dashboard-app-56bfb9cf56-x9jbs:HYSTRIX-DASHBOARD:9295,>eureka>apps>HYSTRIX-DASHBOARD>hystrix-dashboard-app-56bfb9cf56-x9jbs-HYSTRIX-DASHBOARD-9295,8761.0,200.0,put,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
