symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1041866084,192.168.235.192,192.168.84.173,53473.0,9191.0,1575470,477,POST /departments/,>departments>,31101.0,200.0,post,user,gateway
out,1041866122,192.168.235.192,192.168.84.173,34166.0,9191.0,21887,473,POST /departments/,>departments>,31101.0,200.0,post,user,gateway
out,1041866150,192.168.235.192,192.168.84.173,31916.0,9191.0,15631,471,POST /departments/,>departments>,31101.0,200.0,post,user,gateway
out,1041866179,192.168.235.192,192.168.84.173,46627.0,9191.0,505501,470,POST /users/,>users>,31101.0,200.0,post,user,gateway
out,1041866200,192.168.235.192,192.168.84.173,31747.0,9191.0,176572,477,POST /users/,>users>,31101.0,400.0,post,user,gateway
out,1041866232,192.168.235.192,192.168.84.173,9621.0,9191.0,19803,479,POST /users/,>users>,31101.0,400.0,post,user,gateway
out,1041866279,192.168.235.192,192.168.84.173,62472.0,9191.0,14417,457,POST /users/,>users>,31101.0,200.0,post,user,gateway
out,1041866321,192.168.235.192,192.168.84.173,64147.0,9191.0,16674,455,POST /users/,>users>,31101.0,200.0,post,user,gateway
out,1041866327,192.168.235.192,192.168.84.173,56575.0,9191.0,1091530,232,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866341,192.168.235.192,192.168.84.173,30033.0,9191.0,125790,1511,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866345,192.168.235.192,192.168.84.173,30033.0,9191.0,34834,1534,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
out,1041866348,192.168.235.192,192.168.84.173,30033.0,9191.0,39011,1519,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866408,192.168.235.192,192.168.84.173,30033.0,9191.0,29150,1545,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866411,192.168.235.192,192.168.84.173,30033.0,9191.0,52938,1515,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
out,1041866413,192.168.235.192,192.168.84.173,30033.0,9191.0,30425,1530,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866417,192.168.235.192,192.168.84.173,30033.0,9191.0,22948,1537,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866432,192.168.235.192,192.168.84.173,44109.0,9191.0,20065,435,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866433,192.168.235.192,192.168.84.173,22752.0,9191.0,33289,435,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866433,192.168.235.192,192.168.84.173,39856.0,9191.0,18834,435,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866434,192.168.235.192,192.168.84.173,37489.0,9191.0,20260,435,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866436,192.168.235.192,192.168.84.173,14215.0,9191.0,24724,431,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
out,1041866438,192.168.235.192,192.168.84.173,37542.0,9191.0,18449,431,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
out,1041866438,192.168.235.192,192.168.84.173,3172.0,9191.0,33448,431,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
out,1041866439,192.168.235.192,192.168.84.173,2931.0,9191.0,20211,431,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
out,1041866440,192.168.235.192,192.168.84.173,60652.0,9191.0,26815,431,GET /users/2,>users>2,31101.0,200.0,get,user,gateway
out,1041866446,192.168.235.192,192.168.84.173,39559.0,9191.0,14959,427,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866447,192.168.235.192,192.168.84.173,59758.0,9191.0,19663,427,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866448,192.168.235.192,192.168.84.173,42428.0,9191.0,18819,427,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866448,192.168.235.192,192.168.84.173,23515.0,9191.0,24591,427,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866449,192.168.235.192,192.168.84.173,47745.0,9191.0,21489,427,GET /users/3,>users>3,31101.0,200.0,get,user,gateway
out,1041866450,192.168.235.192,192.168.84.173,37655.0,9191.0,23376,435,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866451,192.168.235.192,192.168.84.173,61388.0,9191.0,20530,435,GET /users/1,>users>1,31101.0,200.0,get,user,gateway
out,1041866460,192.168.235.192,192.168.84.173,51302.0,9191.0,13520,317,GET /departments/1,>departments>1,31101.0,200.0,get,user,gateway
out,1041866462,192.168.235.192,192.168.84.173,28227.0,9191.0,9842,317,GET /departments/1,>departments>1,31101.0,200.0,get,user,gateway
out,1041866462,192.168.235.192,192.168.84.173,36975.0,9191.0,10445,317,GET /departments/1,>departments>1,31101.0,200.0,get,user,gateway
out,1041866463,192.168.235.192,192.168.84.173,12790.0,9191.0,10513,317,GET /departments/1,>departments>1,31101.0,200.0,get,user,gateway
out,1041866464,192.168.235.192,192.168.84.173,13881.0,9191.0,11399,315,GET /departments/2,>departments>2,31101.0,200.0,get,user,gateway
out,1041866465,192.168.235.192,192.168.84.173,61999.0,9191.0,20163,315,GET /departments/2,>departments>2,31101.0,200.0,get,user,gateway
out,1041866465,192.168.235.192,192.168.84.173,35789.0,9191.0,10949,315,GET /departments/2,>departments>2,31101.0,200.0,get,user,gateway
