symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
in,1055273055,192.168.235.192,192.168.247.61,9250.0,8080.0,2076285,1725,GET /,>,31301.0,200.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,32866.0,8080.0,70294,540,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,64101.0,8080.0,189016,537,GET /assets/js/chunk-common.530a46a5.js,>assets>js>chunk-common.530a46a5.js,31301.0,304.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,9250.0,8080.0,261198,554,GET /assets/css/chunk-common.a3a93490.css,>assets>css>chunk-common.a3a93490.css,31301.0,304.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,30398.0,8080.0,256464,550,GET /assets/css/sba-core.87bc3301.css,>assets>css>sba-core.87bc3301.css,31301.0,304.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,7711.0,8080.0,219608,533,GET /assets/js/sba-core.18e2842c.js,>assets>js>sba-core.18e2842c.js,31301.0,304.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,59901.0,8080.0,229800,538,GET /assets/js/chunk-vendors.a6feb878.js,>assets>js>chunk-vendors.a6feb878.js,31301.0,304.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,32866.0,8080.0,250344,2013,GET /sba-settings.js,>sba-settings.js,31301.0,200.0,get,user,admin-server
in,1055273058,192.168.235.192,192.168.247.61,59901.0,8080.0,5970,613,GET /assets/img/icon-spring-boot-admin.svg,>assets>img>icon-spring-boot-admin.svg,31301.0,304.0,get,user,admin-server
in,1055273059,192.168.235.192,192.168.247.61,32866.0,8080.0,13582,547,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055273441,192.168.235.192,192.168.247.61,27821.0,8080.0,27724,1777,GET /,>,31301.0,200.0,get,user,admin-server
in,1055273441,192.168.235.192,192.168.247.61,27821.0,8080.0,17050,2065,GET /sba-settings.js,>sba-settings.js,31301.0,200.0,get,user,admin-server
in,1055273442,192.168.235.192,192.168.247.61,27821.0,8080.0,4706,540,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055273442,192.168.235.192,192.168.247.61,27821.0,8080.0,4618,547,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055274941,192.168.235.192,192.168.247.61,24808.0,8080.0,77630,1777,GET /,>,31301.0,200.0,get,user,admin-server
in,1055274941,192.168.235.192,192.168.247.61,24808.0,8080.0,11413,2065,GET /sba-settings.js,>sba-settings.js,31301.0,200.0,get,user,admin-server
in,1055274942,192.168.235.192,192.168.247.61,24808.0,8080.0,4142,547,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055274942,192.168.235.192,192.168.247.61,24808.0,8080.0,11848,540,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055276505,192.168.235.192,192.168.247.61,5863.0,8080.0,84836,1777,GET /,>,31301.0,200.0,get,user,admin-server
in,1055276506,192.168.235.192,192.168.247.61,5863.0,8080.0,69826,2065,GET /sba-settings.js,>sba-settings.js,31301.0,200.0,get,user,admin-server
in,1055276506,192.168.235.192,192.168.247.61,5863.0,8080.0,3410,540,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055276506,192.168.235.192,192.168.247.61,5863.0,8080.0,3029,559,GET /applications,>applications,31301.0,200.0,get,user,admin-server
in,1055276508,192.168.235.192,192.168.247.61,50030.0,8080.0,44496,546,GET /instances/events,>instances>events,31301.0,200.0,get,user,admin-server
in,1055276508,192.168.235.192,192.168.247.61,62376.0,8080.0,4672,539,GET /instances/events,>instances>events,31301.0,200.0,get,user,admin-server
