symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1055272317,192.168.84.140,192.168.247.16,36550.0,2878.0,7140,550,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
out,1055272317,192.168.84.140,192.168.247.16,36550.0,2878.0,6688,550,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
out,1055272317,192.168.84.140,10.96.12.52,36550.0,2878.0,7189,550,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy
out,1055272320,192.168.84.140,192.168.247.16,36550.0,2878.0,1198,2117,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
out,1055272320,192.168.84.140,10.96.12.52,36550.0,2878.0,1231,2117,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy
out,1055272320,192.168.84.140,192.168.247.16,36550.0,2878.0,917,2117,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
in,1055272326,10.0.2.15,192.168.84.140,38256.0,8080.0,432756,477,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,api-gateway
in,1055272336,10.0.2.15,192.168.84.140,53182.0,8080.0,26296,477,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,api-gateway
in,1055272346,10.0.2.15,192.168.84.140,35978.0,8080.0,9861,477,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,api-gateway
in,1055272356,10.0.2.15,192.168.84.140,41432.0,8080.0,15039,477,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,api-gateway
in,1055272366,10.0.2.15,192.168.84.140,39832.0,8080.0,20011,477,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,api-gateway
out,1055272371,192.168.84.140,10.96.12.52,49002.0,2878.0,1252,676,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy
out,1055272371,192.168.84.140,192.168.247.16,49002.0,2878.0,1230,676,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
out,1055272371,192.168.84.140,192.168.247.16,49002.0,2878.0,910,676,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
out,1055272376,192.168.84.140,192.168.247.16,49002.0,2878.0,2940,1603,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
out,1055272376,192.168.84.140,10.96.12.52,49002.0,2878.0,3755,1603,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy
out,1055272376,192.168.84.140,192.168.247.16,49002.0,2878.0,3697,1603,POST /report,>report,2878.0,202.0,post,api-gateway,wavefront-proxy-7956c974f8-7v7ct
in,1055272376,10.0.2.15,192.168.84.140,51630.0,8080.0,20294,477,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,api-gateway
