_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1055272709,192.168.84.140,192.168.247.5,60556.0,8080.0,818833,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055272709,192.168.84.140,10.97.9.58,60556.0,8080.0,818864,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273022,192.168.84.140,192.168.247.5,45672.0,8080.0,54076,1207,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273022,192.168.84.140,10.97.9.58,45672.0,8080.0,54435,1207,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273022,192.168.84.140,192.168.247.5,45672.0,8080.0,54403,1207,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273192,192.168.84.140,192.168.247.5,57708.0,8080.0,38023,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273192,192.168.84.140,192.168.247.5,57708.0,8080.0,38352,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273192,192.168.84.140,10.97.9.58,57708.0,8080.0,38383,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273361,192.168.84.140,10.97.9.58,56176.0,8080.0,33944,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273361,192.168.84.140,192.168.247.5,56176.0,8080.0,33549,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273361,192.168.84.140,192.168.247.5,56176.0,8080.0,33900,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273428,192.168.84.140,192.168.247.5,36472.0,8080.0,72059,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273428,192.168.84.140,10.97.9.58,36472.0,8080.0,72468,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273428,192.168.84.140,192.168.247.5,36472.0,8080.0,72433,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273446,192.168.84.140,192.168.247.5,36472.0,8080.0,54469,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273446,192.168.84.140,10.97.9.58,36472.0,8080.0,54510,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273446,192.168.84.140,192.168.247.5,36472.0,8080.0,54043,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273567,192.168.84.140,192.168.247.5,54076.0,8080.0,31503,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273567,192.168.84.140,192.168.247.5,54076.0,8080.0,33728,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273567,192.168.84.140,10.97.9.58,54076.0,8080.0,33743,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273675,192.168.84.140,10.97.9.58,33110.0,8080.0,52908,1207,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055273675,192.168.84.140,192.168.247.5,33110.0,8080.0,52879,1207,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055274839,192.168.84.140,192.168.247.5,53410.0,8080.0,28959,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055274839,192.168.84.140,192.168.247.5,53410.0,8080.0,28658,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055274839,192.168.84.140,10.97.9.58,53410.0,8080.0,28990,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055274928,192.168.84.140,10.97.9.58,33546.0,8080.0,50553,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055274928,192.168.84.140,192.168.247.5,33546.0,8080.0,50527,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055274928,192.168.84.140,192.168.247.5,33546.0,8080.0,50225,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055275003,192.168.84.140,10.97.9.58,47998.0,8080.0,28473,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055275003,192.168.84.140,192.168.247.5,47998.0,8080.0,28452,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055276762,192.168.84.140,10.97.9.58,33292.0,8080.0,73452,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055276762,192.168.84.140,192.168.247.5,33292.0,8080.0,73375,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055276768,192.168.84.140,192.168.247.5,33292.0,8080.0,77232,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055276768,192.168.84.140,192.168.247.5,33292.0,8080.0,78001,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
1055276768,192.168.84.140,10.97.9.58,33292.0,8080.0,78071,1208,GET /vets,>vets,8080.0,200.0,get,api-gateway,vets-service
