symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1055272531,192.168.247.62,192.168.247.16,48164.0,2878.0,4070798,621,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272531,192.168.247.62,10.96.12.52,48164.0,2878.0,4070850,621,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy
out,1055272535,192.168.247.62,10.96.12.52,48164.0,2878.0,323619,1112,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy
out,1055272535,192.168.247.62,192.168.247.16,48164.0,2878.0,323583,1112,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272538,192.168.247.62,10.96.12.52,48164.0,2878.0,1640,955,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy
out,1055272538,192.168.247.62,192.168.247.16,48164.0,2878.0,1607,955,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272539,192.168.247.62,10.96.12.52,48164.0,2878.0,4150,836,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy
out,1055272539,192.168.247.62,192.168.247.16,48164.0,2878.0,4120,836,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272541,192.168.247.62,10.96.12.52,48164.0,2878.0,1014,969,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy
out,1055272541,192.168.247.62,192.168.247.16,48164.0,2878.0,995,969,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272542,192.168.247.62,10.96.12.52,48164.0,2878.0,1893,958,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy
out,1055272542,192.168.247.62,192.168.247.16,48164.0,2878.0,1850,958,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272560,192.168.247.62,192.168.247.16,37136.0,2878.0,4777,1878,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272560,192.168.247.62,10.96.12.52,37136.0,2878.0,4839,1878,POST /report,>report,2878.0,202.0,post,customers-service,wavefront-proxy
