symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
in,1055272164,10.0.2.15,192.168.247.55,52102.0,3000.0,227,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272174,10.0.2.15,192.168.247.55,37138.0,3000.0,670,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272184,10.0.2.15,192.168.247.55,44578.0,3000.0,1417,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272184,10.0.2.15,192.168.247.55,44580.0,3000.0,769,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272194,10.0.2.15,192.168.247.55,41124.0,3000.0,1199,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272194,10.0.2.15,192.168.247.55,41122.0,3000.0,1021,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272204,10.0.2.15,192.168.247.55,50222.0,3000.0,1125,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272204,10.0.2.15,192.168.247.55,50224.0,3000.0,522,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272214,10.0.2.15,192.168.247.55,52334.0,3000.0,666,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272214,10.0.2.15,192.168.247.55,52336.0,3000.0,601,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272224,10.0.2.15,192.168.247.55,57382.0,3000.0,704,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272224,10.0.2.15,192.168.247.55,57384.0,3000.0,738,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272234,10.0.2.15,192.168.247.55,42196.0,3000.0,1831,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272234,10.0.2.15,192.168.247.55,42194.0,3000.0,4110,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272244,10.0.2.15,192.168.247.55,45450.0,3000.0,1363,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272244,10.0.2.15,192.168.247.55,45452.0,3000.0,1475,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272254,10.0.2.15,192.168.247.55,51034.0,3000.0,149,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272254,10.0.2.15,192.168.247.55,51032.0,3000.0,295,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272264,10.0.2.15,192.168.247.55,54668.0,3000.0,6820,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272264,10.0.2.15,192.168.247.55,54670.0,3000.0,2384,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272274,10.0.2.15,192.168.247.55,53280.0,3000.0,418,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272274,10.0.2.15,192.168.247.55,53278.0,3000.0,714,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272284,10.0.2.15,192.168.247.55,43928.0,3000.0,1118,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272284,10.0.2.15,192.168.247.55,43926.0,3000.0,1208,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272294,10.0.2.15,192.168.247.55,47236.0,3000.0,1229,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272294,10.0.2.15,192.168.247.55,47238.0,3000.0,781,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272304,10.0.2.15,192.168.247.55,52404.0,3000.0,240,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272304,10.0.2.15,192.168.247.55,52406.0,3000.0,243,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272314,10.0.2.15,192.168.247.55,55314.0,3000.0,299,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272314,10.0.2.15,192.168.247.55,55312.0,3000.0,390,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272324,10.0.2.15,192.168.247.55,43010.0,3000.0,601,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272324,10.0.2.15,192.168.247.55,43012.0,3000.0,263,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272334,10.0.2.15,192.168.247.55,54112.0,3000.0,1111,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272334,10.0.2.15,192.168.247.55,54110.0,3000.0,1259,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272344,10.0.2.15,192.168.247.55,51934.0,3000.0,599,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272344,10.0.2.15,192.168.247.55,51932.0,3000.0,410,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272354,10.0.2.15,192.168.247.55,44632.0,3000.0,886,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272354,10.0.2.15,192.168.247.55,44634.0,3000.0,527,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272364,10.0.2.15,192.168.247.55,36142.0,3000.0,805,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272364,10.0.2.15,192.168.247.55,36144.0,3000.0,834,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272374,10.0.2.15,192.168.247.55,38608.0,3000.0,498,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272374,10.0.2.15,192.168.247.55,38606.0,3000.0,547,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272384,10.0.2.15,192.168.247.55,47664.0,3000.0,2275,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272384,10.0.2.15,192.168.247.55,47662.0,3000.0,1441,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272394,10.0.2.15,192.168.247.55,39040.0,3000.0,1605,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
in,1055272394,10.0.2.15,192.168.247.55,39042.0,3000.0,826,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
