_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1055272169,192.168.247.59,192.168.247.56,44894.0,8080.0,709,511150,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272199,192.168.247.59,192.168.247.56,44894.0,8080.0,864,511486,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272229,192.168.247.59,192.168.247.56,44894.0,8080.0,411,511486,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272259,192.168.247.59,192.168.247.56,44894.0,8080.0,287,511485,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272289,192.168.247.59,192.168.247.56,44894.0,8080.0,198,511486,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272319,192.168.247.59,192.168.247.56,44894.0,8080.0,154,542654,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272349,192.168.247.59,192.168.247.56,44894.0,8080.0,824,542965,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272379,192.168.247.59,192.168.247.56,44894.0,8080.0,247,542964,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272409,192.168.247.59,192.168.247.56,44894.0,8080.0,608,542963,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272439,192.168.247.59,192.168.247.56,44894.0,8080.0,213,542964,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272469,192.168.247.59,192.168.247.56,44894.0,8080.0,384,542965,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272499,192.168.247.59,192.168.247.56,44894.0,8080.0,355,559260,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272529,192.168.247.59,192.168.247.56,44894.0,8080.0,4275,579580,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272589,192.168.247.59,192.168.247.56,44894.0,8080.0,203,580796,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272619,192.168.247.59,192.168.247.56,44894.0,8080.0,3154,581747,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272649,192.168.247.59,192.168.247.56,44894.0,8080.0,183,581747,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272739,192.168.247.59,192.168.247.56,44894.0,8080.0,903,581007,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272769,192.168.247.59,192.168.247.56,44894.0,8080.0,259,581007,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272799,192.168.247.59,192.168.247.56,44894.0,8080.0,165,581007,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272911,192.168.247.59,192.168.247.56,44894.0,8080.0,733,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272941,192.168.247.59,192.168.247.56,44894.0,8080.0,700,581060,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272971,192.168.247.59,192.168.247.56,44894.0,8080.0,329,581060,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273001,192.168.247.59,192.168.247.56,44894.0,8080.0,470,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273031,192.168.247.59,192.168.247.56,44894.0,8080.0,206,581060,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273061,192.168.247.59,192.168.247.56,44894.0,8080.0,1115,581060,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273121,192.168.247.59,192.168.247.56,44894.0,8080.0,814,581059,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273151,192.168.247.59,192.168.247.56,44894.0,8080.0,1850,581060,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273181,192.168.247.59,192.168.247.56,44894.0,8080.0,206,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273211,192.168.247.59,192.168.247.56,44894.0,8080.0,2323,581060,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273241,192.168.247.59,192.168.247.56,44894.0,8080.0,198,303394,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273271,192.168.247.59,192.168.247.56,44894.0,8080.0,623,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273331,192.168.247.59,192.168.247.56,44894.0,8080.0,265,577826,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273391,192.168.247.59,192.168.247.56,44894.0,8080.0,446,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273421,192.168.247.59,192.168.247.56,44894.0,8080.0,274,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273451,192.168.247.59,192.168.247.56,44894.0,8080.0,1828,581059,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273481,192.168.247.59,192.168.247.56,44894.0,8080.0,4349,581061,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273541,192.168.247.59,192.168.247.56,44894.0,8080.0,312,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273601,192.168.247.59,192.168.247.56,44894.0,8080.0,4176,581056,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273631,192.168.247.59,192.168.247.56,44894.0,8080.0,206,581060,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273661,192.168.247.59,192.168.247.56,44894.0,8080.0,234,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273691,192.168.247.59,192.168.247.56,44894.0,8080.0,499,405794,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273721,192.168.247.59,192.168.247.56,44894.0,8080.0,195,581061,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273811,192.168.247.59,192.168.247.56,44894.0,8080.0,229,327970,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273871,192.168.247.59,192.168.247.56,44894.0,8080.0,315,549154,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273931,192.168.247.59,192.168.247.56,44894.0,8080.0,643,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055273991,192.168.247.59,192.168.247.56,44894.0,8080.0,2502,581061,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055274021,192.168.247.59,192.168.247.56,44894.0,8080.0,207,61730,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055274051,192.168.247.59,192.168.247.56,44894.0,8080.0,401,557346,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055274081,192.168.247.59,192.168.247.56,44894.0,8080.0,328,581061,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055274111,192.168.247.59,192.168.247.56,44894.0,8080.0,221,508194,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055274141,192.168.247.59,192.168.247.56,44894.0,8080.0,447,581059,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055274171,192.168.247.59,192.168.247.56,44894.0,8080.0,891,581062,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
