symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1055272600,192.168.247.5,10.96.12.52,53352.0,2878.0,3846,785,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy
out,1055272600,192.168.247.5,192.168.247.16,53352.0,2878.0,3806,785,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272601,192.168.247.5,10.96.12.52,53352.0,2878.0,1462,820,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy
out,1055272601,192.168.247.5,192.168.247.16,53352.0,2878.0,1418,820,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272603,192.168.247.5,192.168.247.16,53352.0,2878.0,2514,733,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272603,192.168.247.5,10.96.12.52,53352.0,2878.0,2571,733,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy
out,1055272604,192.168.247.5,192.168.247.16,53352.0,2878.0,2029,918,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272604,192.168.247.5,10.96.12.52,53352.0,2878.0,2090,918,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy
out,1055272605,192.168.247.5,10.96.12.52,53352.0,2878.0,58626,1151,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy
out,1055272605,192.168.247.5,192.168.247.16,53352.0,2878.0,58585,1151,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272615,192.168.247.5,192.168.247.16,52368.0,2878.0,1077,547,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272615,192.168.247.5,10.96.12.52,52368.0,2878.0,1097,547,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy
in,1055272616,10.0.2.15,192.168.247.5,57428.0,8080.0,391212,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,vets-service
out,1055272620,192.168.247.5,192.168.247.16,34204.0,2878.0,2182,2559,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272620,192.168.247.5,10.96.12.52,34204.0,2878.0,2219,2559,POST /report,>report,2878.0,202.0,post,vets-service,wavefront-proxy
in,1055272626,10.0.2.15,192.168.247.5,36912.0,8080.0,17902,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,vets-service
