symb:flow_direction,_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,symb:_source_http_response_status_code,symb:_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
out,1055272598,192.168.247.4,192.168.247.16,52078.0,2878.0,869,687,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272598,192.168.247.4,10.96.12.52,52078.0,2878.0,908,687,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
out,1055272599,192.168.247.4,192.168.247.16,52078.0,2878.0,2894,911,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272599,192.168.247.4,10.96.12.52,52078.0,2878.0,2922,911,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
out,1055272600,192.168.247.4,10.96.12.52,52078.0,2878.0,1933,972,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
out,1055272600,192.168.247.4,192.168.247.16,52078.0,2878.0,1900,972,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272608,192.168.247.4,192.168.247.16,52080.0,2878.0,12482,550,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272608,192.168.247.4,10.96.12.52,52080.0,2878.0,12518,550,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
in,1055272612,10.0.2.15,192.168.247.4,54414.0,8080.0,490551,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
out,1055272620,192.168.247.4,10.96.12.52,35000.0,2878.0,2127,2578,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
out,1055272620,192.168.247.4,192.168.247.16,35000.0,2878.0,2095,2578,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
in,1055272622,10.0.2.15,192.168.247.4,50476.0,8080.0,8371,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272622,10.0.2.15,192.168.247.4,50478.0,8080.0,12772,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272627,10.0.2.15,192.168.247.4,50480.0,8080.0,19390,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272632,10.0.2.15,192.168.247.4,34744.0,8080.0,4995,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272632,10.0.2.15,192.168.247.4,34746.0,8080.0,7357,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272637,10.0.2.15,192.168.247.4,34752.0,8080.0,3680,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272642,10.0.2.15,192.168.247.4,45026.0,8080.0,3859,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272642,10.0.2.15,192.168.247.4,45028.0,8080.0,7443,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
out,1055272645,192.168.247.4,192.168.247.16,46480.0,2878.0,1925,691,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272645,192.168.247.4,10.96.12.52,46480.0,2878.0,1971,691,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
in,1055272647,10.0.2.15,192.168.247.4,45032.0,8080.0,18782,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
out,1055272647,192.168.247.4,192.168.247.16,46480.0,2878.0,805,789,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272647,192.168.247.4,10.96.12.52,46480.0,2878.0,847,789,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
out,1055272647,192.168.247.4,192.168.247.16,46480.0,2878.0,1830,728,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272647,192.168.247.4,10.96.12.52,46480.0,2878.0,1882,728,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
in,1055272652,10.0.2.15,192.168.247.4,58372.0,8080.0,10994,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272652,10.0.2.15,192.168.247.4,58370.0,8080.0,8448,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272657,10.0.2.15,192.168.247.4,58376.0,8080.0,14075,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272662,10.0.2.15,192.168.247.4,39348.0,8080.0,3459,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272662,10.0.2.15,192.168.247.4,39346.0,8080.0,3216,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272717,10.0.2.15,192.168.247.4,58364.0,8080.0,13059,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272722,10.0.2.15,192.168.247.4,38634.0,8080.0,12723,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272722,10.0.2.15,192.168.247.4,38632.0,8080.0,12615,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272727,10.0.2.15,192.168.247.4,38636.0,8080.0,4446,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
out,1055272727,192.168.247.4,10.96.12.52,50998.0,2878.0,5436,1558,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
out,1055272727,192.168.247.4,192.168.247.16,50998.0,2878.0,5412,1558,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
in,1055272732,10.0.2.15,192.168.247.4,44030.0,8080.0,8075,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272732,10.0.2.15,192.168.247.4,44032.0,8080.0,8645,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
in,1055272737,10.0.2.15,192.168.247.4,44034.0,8080.0,11297,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
out,1055272740,192.168.247.4,192.168.247.16,53008.0,2878.0,1465,2528,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy-7956c974f8-7v7ct
out,1055272740,192.168.247.4,10.96.12.52,53008.0,2878.0,1487,2528,POST /report,>report,2878.0,202.0,post,visits-service,wavefront-proxy
in,1055272742,10.0.2.15,192.168.247.4,46222.0,8080.0,14642,316,GET /actuator/health/readiness,>actuator>health>readiness,8080.0,200.0,get,user,visits-service
in,1055272742,10.0.2.15,192.168.247.4,46224.0,8080.0,14257,315,GET /actuator/health/liveness,>actuator>health>liveness,8080.0,200.0,get,user,visits-service
